LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
2,160,160,10,2,2,2,BAX07,2,BSX07,100,100,100,100,100,100,100,100,100,78,33,17.60000038,13,7.099999905,,0
2,201,201,10,2,2,2,B6,1,BG06,100,100,100,100,100,100,100,100,100,74,24,10.60000038,8.399999619,4.900000095,,0
1,203,201,10,1,1,2,B12,1,BS06,100,100,100,100,100,100,100,100,100,74,38,25.70000076,17.10000038,3.700000048,,0
1,203,207,10,1,1,2,B10,1,BS04,100,100,100,100,100,100,99,99,98,78,41,32,18.60000038,10.19999981,,2
2,203,210,10,2,5,1,BA306,4,BS309,100,100,100,100,100,100,100,99,99,82,35,19.29999924,11.69999981,6.400000095,,1
1,204,204,10,1,4,1,BA301,2,BS302,100,100,100,99,99,99,99,98,98,78,26,10.80000019,7.900000095,4.400000095,,2
2,205,201,10,2,6,1,BA318,3,BS332,100,100,100,99,99,99,99,99,98,79,30,13.19999981,9.100000381,5.300000191,,2
1,209,211,10,1,7,1,BA313,1,BS323,100,100,100,100,100,100,100,98,97,73,36,22.39999962,19.20000076,10,,3
1,212,207,10,1,1,2,B10,1,BS04,100,100,100,100,100,100,99,99,98,78,41,32,18.60000038,10.19999981,,2
1,259,204,10,1,4,1,BA301,2,BS302,100,100,100,99,99,99,99,98,98,78,26,10.80000019,7.900000095,4.400000095,,2
2,259,202,10,2,6,1,BA309,1,BS314,100,100,100,98,97,96,96,95,95,75,28,12,8.300000191,4.599999905,,5
