LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,TEST_NO,FIELD_SET,LOC_NO,SAMPLE_NO,MR_MATL_TYPE,MAX_DRY_DENSITY,COMP_MOIST_CONT,COMP_DRY_DENSITY,CONSTRUCTION_NO
216,3,216,55,3,2,2,BAX01,BGX01,1,2274.600098,4.800000191,2180.300049,1
217,2,261,55,2,1,2,BAX09,BSX09,1,2130.5,5.900000095,1995.5,1
218,1,213,55,1,2,2,BAX18,BSX18,2,2130.5,7,2003.300049,1
218,2,214,55,2,1,1,B16,BG03,1,2258.600098,6,2158.600098,1
218,2,262,55,2,2,2,BAX12,BGX12,1,2178.5,5.199999809,2020.900024,1
218,2,265,55,2,2,1,B18,BG05,1,2226.600098,5.800000191,2129.399902,1
219,2,261,55,2,2,2,BAX10,BSX10,2,1954.300049,8.600000381,1856.099976,1
222,2,218,55,2,1,1,B15,BG02,1,2178.5,6.900000095,2077.100098,1
223,2,262,55,2,2,2,BAX12,BGX12,1,2178.5,5.199999809,2020.900024,1
223,3,216,55,3,2,2,BAX01,BGX01,1,2274.600098,4.800000191,2180.300049,1
259,1,213,55,1,2,2,BAX18,BSX18,2,2130.5,7,2003.300049,1
259,3,265,55,3,2,1,B25,BG12,1,2242.600098,5.599999905,2185.600098,1
261,2,213,55,2,2,2,BAX08,BSX08,1,2194.5,5.800000191,2059.199951,1
261,2,261,55,2,2,2,BAX10,BSX10,2,1954.300049,8.600000381,1856.099976,1
261,3,216,55,3,2,2,BAX01,BGX01,1,2274.600098,4.800000191,2180.300049,1
261,3,265,55,3,2,1,B25,BG12,1,2242.600098,5.599999905,2185.600098,1
262,2,265,55,2,2,1,B18,BG05,1,2226.600098,5.800000191,2129.399902,1
113,1,122,40,1,2,1,B4,BS04,2,1882.099976,11.69999981,1804.599976,1
113,1,123,40,1,2,1,B6,BS06,2,1882.099976,11.80000019,1811.400024,1
114,3,120,40,3,2,2,B9,BG03,1,2194.5,6.800000191,2134.100098,1
115,1,114,40,1,2,1,B1,BS01,2,1951,11,1861.800049,1
