LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
1,0503,0504,4,1,1,2,TP1,BS92,1,2146.70,7
2,0503,0504,4,2,1,2,TP1,BG91,1,2082.60,7
2,0504,0505,4,2,1,2,BA*,BG*3,1,2066.60,8
2,0504,0507,4,2,1,1,BA*,BG*1,1,2066.60,8
2,0504,0508,4,2,3,1,BA261,BG261,5,2156.30,6
1,0505,0559,4,1,1,2,BA*,BS*4,1,1986.50,10
2,0505,0504,4,2,1,2,TP1,BG91,1,2082.60,7
2,0505,0509,4,2,1,1,BA*,BG*2,1,2050.60,8
2,0505,0509,4,2,1,2,BA*,BG*6,1,2210.80,5
2,0505,0559,4,2,1,2,BA*,BG*4,1,2114.60,7
1,0506,0507,4,1,1,1,BA*,BS*1,1,2130.70,7
1,0507,0502,4,1,1,2,TP2,BS92,1,2050.60,8
1,0508,0505,4,1,1,2,BA*,BS*3,1,2018.50,9
1,0508,0559,4,1,1,2,BA*,BS*4,1,1986.50,10
2,0508,0509,4,2,4,3,TP1,MG01,6,2082.60,9
1,0560,0505,4,1,1,2,BA*,BS*3,1,2018.50,9
2,0560,0505,4,2,1,2,BA*,BG*3,1,2066.60,8
2,0560,0507,4,2,1,1,BA*,BG*5,1,2210.80,6
2,0665,0603,4,2,1,2,BA*,BG*4,1,2194.70,6
2,0668,0662,4,3,1,2,BA*,BG*3,1,2210.80,6
1,1015,1015,4,1,1,1,BA*,BS**,1,1794.20,15
2,1015,1015,4,2,1,2,TP1,BG91,1,2034.50,9
2,1021,1021,4,2,1,2,TP1,BG91,1,2146.70,7
3,1022,1022,4,3,1,2,TP1,BG91,1,2178.70,6
2,1024,1024,4,2,1,1,BA*,BG**,2,2242.80,7
1,1065,1065,4,1,1,1,BA*,BS**,2,1714.10,20
1,7614,7614,4,1,1,2,BA*,BS**,1,1954.40,9
1,A320,1036,4,1,1,2,TP1,BS70,1,1986.50,11
1,A390,1036,4,1,1,1,BA*,BS**,1,2018.50,9
1,A451,7613,4,1,1,2,BA*,BS**,1,1794.20,16
1,A453,7613,4,1,1,2,BA*,BS**,1,1794.20,16
1,A454,7613,4,1,1,1,BA*,BS**,1,1986.50,10
1,A456,7613,4,1,1,1,BA*,BS**,1,1986.50,10
1,A457,7613,4,1,1,2,BA*,BS**,1,1794.20,16
1,A460,7613,4,1,1,2,BA*,BS**,1,1794.20,16
1,A462,7613,4,1,1,1,BA*,BS**,1,1986.50,10
2,A903,A901,4,2,1,2,B323,BG23,1,2258.80,5
2,A903,A903,4,2,1,2,B28,BG28,1,2226.80,6
1,B320,1021,4,1,1,2,TP1,BS92,1,1922.40,11
2,B330,1021,4,2,1,1,BA*,BG**,1,2146.70,6
1,B901,1007,4,1,1,1,BA*,BS**,1,1986.50,10
2,B901,1007,4,2,1,2,TP1,BG91,1,2178.70,7
2,B903,1007,4,2,1,1,BA*,BG**,1,2162.70,7
1,B959,1007,4,1,1,2,TP1,BS91,1,2018.50,10
1,B959,1007,4,1,1,1,BA*,BS**,1,1986.50,10
