LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,STATE_CODE_EXP,LAYER_NO,FIELD_SET,TEST_NO,TEST_NO_EXP,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,TEST_DATE,CONSTRUCTION_NO
1,0660,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0661,0659,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA262,BS262,23,29,NP,02/17/2006,4
1,0663,0663,6,California,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA265,BS265,19,24,NP,02/17/2006,10
1,0663,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0664,3005,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,04/29/1991,1
1,0811,0812,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B8,BS08,,,NP,05/05/2000,1
1,1253,1253,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,28,17,11,04/22/1991,1
1,2038,2038,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,20,17,3,05/17/1991,1
1,2041,2041,6,California,1,2,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,22,15,7,04/19/1991,1
2,2041,2041,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,0,0,NP,04/19/1991,1
2,3019,3019,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,26,18,8,05/04/1991,1
1,3021,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
1,7456,7456,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,24,13,11,04/29/1991,1
2,8201,8201,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,25,19,6,05/08/1991,1
1,A310,1253,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,28,17,11,04/22/1991,1
2,A311,1253,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,0,0,NP,04/23/1991,1
2,A321,1253,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,20,16,4,04/23/1991,1
2,A352,1253,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,20,16,4,04/23/1991,1
1,A353,1253,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BS92,0,0,NP,04/22/1991,1
1,A363,1253,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,28,17,11,04/22/1991,1
1,A412,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
2,A412,3021,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,0,0,NP,05/06/1991,1
1,A420,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
1,A421,3021,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
1,A430,3021,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
1,A442,3021,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,0,0,NP,05/06/1991,1
2,A443,3021,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,0,0,NP,05/06/1991,1
1,A805,A806,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA263,BS263,19,22,NP,03/17/2008,1
1,A806,A806,6,California,1,3,2,Material sample obtained from area adjacent to leave end of test section.,BA263,BS263,19,22,NP,03/17/2008,1
2,A806,A805,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,B9,BG09,,,NP,05/05/2000,1
2,A806,A806,6,California,2,3,1,Material sample obtained from area adjacent to approach end of test section.,BA262,BG262,16,19,NP,04/04/2008,1
2,B411,7455,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,21,13,8,04/23/1991,1
1,B412,7455,6,California,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BS01,40,16,24,04/23/1991,1
1,B413,7455,6,California,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BS06,37,15,22,04/23/1991,1
2,B420,7455,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,21,13,8,04/23/1991,1
2,B443,7455,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG06,22,14,8,04/23/1991,1
2,B443,7455,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,21,13,8,04/23/1991,1
2,B451,7455,6,California,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,21,13,8,04/23/1991,1
2,B453,7455,6,California,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG06,22,14,8,04/23/1991,1
2,0216,0214,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B10,BG10,,,NP,12/14/1993,1
1,0219,0214,8,Colorado,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B2,BS02,26,13,13,12/10/1993,1
1,0219,0219,8,Colorado,1,1,2,Material sample obtained from area adjacent to leave end of test section.,B3,BS03,24,14,10,12/14/1993,1
2,0223,0214,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B10,BG10,,,NP,12/14/1993,1
2,0223,0221,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B12,BG12,,,NP,12/14/1993,1
2,0224,0221,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,B12,BG12,,,NP,12/14/1993,1
2,0224,0221,8,Colorado,2,5,1,Material sample obtained from area adjacent to approach end of test section.,BAX04,BGX04,18,19,NP,04/04/2008,1
2,0812,0812,8,Colorado,2,5,1,Material sample obtained from area adjacent to approach end of test section.,BAX02,BGX02,22,22,NP,04/01/2008,1
2,1029,1029,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG92,0,0,NP,01/24/1991,1
2,6013,6013,8,Colorado,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,01/22/1991,1
2,7780,7780,8,Colorado,2,1,2,Material sample obtained from area adjacent to leave end of test section.,TP1,BG91,0,0,NP,01/22/1991,1
2,7783,7783,8,Colorado,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,0,0,NP,01/22/1991,1
1,0502,0506,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BS02,0,0,NP,12/10/1996,1
1,0502,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS04,0,0,NP,12/09/1996,1
1,0502,4155,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BS**,21,19,2,04/15/1991,1
2,0502,0506,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA501,BG308,23,17,6,11/21/2006,2
2,0502,4155,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,04/15/1991,1
3,0502,0503,1,Alabama,3,4,1,Material sample obtained from area adjacent to approach end of test section.,BA307,BG317,25,19,6,11/21/2006,2
1,0503,0502,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,TP1,BS55,0,0,NP,12/10/1996,1
1,0503,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS04,0,0,NP,12/09/1996,1
2,0503,0506,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA302,BG304,22,15,7,11/16/2006,2
3,0503,0503,1,Alabama,3,4,1,Material sample obtained from area adjacent to approach end of test section.,BA309,BG321,27,17,10,11/16/2006,2
1,0504,0504,1,Alabama,1,4,2,Material sample obtained from area adjacent to leave end of test section.,BA306,BS306,24,18,6,11/21/2006,2
2,0504,0502,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,TP1,BG56,0,0,NP,12/09/1996,1
2,0504,0504,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA306,BG314,27,17,10,11/16/2006,2
2,0504,0506,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA3,BG06,0,0,NP,12/09/1996,1
2,0504,4155,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,,,NP,04/15/1991,1
3,0504,0502,1,Alabama,3,1,1,Material sample obtained from area adjacent to approach end of test section.,TP1,BG55,0,0,NP,12/10/1996,1
3,0504,0503,1,Alabama,3,4,1,Material sample obtained from area adjacent to approach end of test section.,BA308,BG319,26,15,11,11/16/2006,2
3,0504,0504,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA503,BG315,25,18,7,11/21/2006,2
3,0504,0504,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA304,BG309,24,18,6,11/21/2006,2
2,0505,0506,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA3,BG06,0,0,NP,12/09/1996,1
2,0505,4155,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,04/15/1991,1
1,0506,0506,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA3,BS03,0,0,NP,12/10/1996,1
1,0506,0506,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BS01,0,0,NP,12/09/1996,1
1,0506,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BS06,0,0,NP,12/10/1996,1
1,0506,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS05,0,0,NP,12/10/1996,1
2,0506,0504,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA305,BG312,26,15,11,11/16/2006,2
2,0506,0506,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA302,BG304,22,15,7,11/16/2006,2
3,0506,0506,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA301,BG301,25,16,9,11/16/2006,2
3,0506,0506,1,Alabama,3,1,1,Material sample obtained from area adjacent to approach end of test section.,BA3,BG05,,,NP,12/10/1996,1
3,0506,0508,1,Alabama,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG07,0,0,NP,12/10/1996,1
1,0507,0506,1,Alabama,1,4,2,Material sample obtained from area adjacent to leave end of test section.,BA303,BS303,22,16,6,11/21/2006,2
1,0507,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BS05,0,0,NP,12/10/1996,1
1,0507,4155,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BS**,23,19,4,04/15/1991,1
2,0507,0504,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA304,BG310,25,16,9,11/16/2006,2
2,0507,0504,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA305,BG312,26,15,11,11/16/2006,2
2,0507,0506,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA303,BG306,20,15,5,11/16/2006,2
2,0507,0506,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG02,0,0,NP,12/06/1996,1
2,0507,0508,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA5,BG10,0,0,NP,12/09/1996,1
2,0507,0508,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG08,,,NP,12/09/1996,1
3,0507,0508,1,Alabama,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG11,0,0,NP,12/10/1996,1
2,0508,0506,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA501,BG308,23,17,6,11/21/2006,2
2,0508,0506,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA302,BG304,22,15,7,11/16/2006,2
2,0508,0506,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA3,BG06,0,0,NP,12/09/1996,1
3,0508,0506,1,Alabama,3,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,12/10/1996,1
3,0508,0508,1,Alabama,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG07,0,0,NP,12/10/1996,1
1,0509,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS04,0,0,NP,12/09/1996,1
2,0509,0504,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA503,BG316,28,18,10,11/21/2006,2
2,0509,0506,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA3,BG06,0,0,NP,12/09/1996,1
2,0509,0508,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG08,,,NP,12/09/1996,1
3,0509,0508,1,Alabama,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG11,0,0,NP,12/10/1996,1
1,0563,0506,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BS01,0,0,NP,12/09/1996,1
1,0563,0508,1,Alabama,1,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BS04,0,0,NP,12/09/1996,1
2,0563,0504,1,Alabama,2,4,2,Material sample obtained from area adjacent to leave end of test section.,BA304,BG310,25,16,9,11/16/2006,2
2,0563,0508,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG08,,,NP,12/09/1996,1
3,0563,0506,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA501,BG307,25,17,8,11/21/2006,2
3,0563,0506,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA302,BG303,23,18,5,11/16/2006,2
3,0563,0506,1,Alabama,3,1,1,Material sample obtained from area adjacent to approach end of test section.,BA1,BG01,,,NP,12/10/1996,1
3,0563,0508,1,Alabama,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG11,0,0,NP,12/10/1996,1
3,0563,0508,1,Alabama,3,1,2,Material sample obtained from area adjacent to leave end of test section.,BA4,BG07,0,0,NP,12/10/1996,1
1,0564,0506,1,Alabama,1,4,2,Material sample obtained from area adjacent to leave end of test section.,BA303,BS303,22,16,6,11/21/2006,2
1,0564,0506,1,Alabama,1,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BS02,0,0,NP,12/10/1996,1
2,0564,0508,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA6,BG12,,,NP,12/10/1996,1
2,0564,4155,1,Alabama,2,1,1,Material sample obtained from area adjacent to approach end of test section.,BA*,BG**,,,NP,04/15/1991,1
2,0564,4155,1,Alabama,2,1,2,Material sample obtained from area adjacent to leave end of test section.,BA*,BG**,,,NP,04/15/1991,1
3,0564,0506,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA501,BG307,25,17,8,11/21/2006,2
3,0564,0506,1,Alabama,3,4,2,Material sample obtained from area adjacent to leave end of test section.,BA302,BG303,23,18,5,11/16/2006,2
3,0564,0506,1,Alabama,3,1,1,Material sample obtained from area adjacent to approach end of test section.,BA2,BG03,0,0,NP,12/11/1996,1
1,0603,0606,1,Alabama,1,3,1,Material sample obtained from area adjacent to approach end of test section.,BA511,BS306,45,18,27,08/28/2006,2
2,0604,0605,1,Alabama,2,1,3,Material sample obtained within test section limits.,TP1,BG57,14,12,2,04/03/2000,2
