LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,SHRP_TEST,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING
3073,3,3073,5,3,1,2,UG01,BA*,1,BG**,100,100,100,100,98,84,75,58,45,31,23,15.69999981
3073,3,3073,5,3,1,1,UG01,BA*,1,BG**,100,100,98,93,90,81,74,59,41,26,21,15
4021,1,4021,5,1,1,1,SS01,BA*,1,BS**,91,91,89,86,81,75,70,45,40,34,29,23.20000076
A410,2,4021,5,2,1,1,UG01,BA*,1,BG**,100,100,100,98,95,90,87,81,75,47,19,14.10000038
A430,2,4021,5,2,1,2,UG01,BA*,1,BG**,100,100,100,99,97,94,92,89,85,48,20,15.89999962
B410,1,4019,5,1,1,1,SS01,BA*,1,BS**,100,100,100,100,100,100,100,100,100,99,95,41.40000153
0204,2,0202,6,2,1,2,UG01,B11,1,BG11,100,100,100,88,73,59,53,43,37,22,14,8.899999619
0206,1,0206,6,1,1,1,SS01,B9,1,BS09,100,100,100,100,100,100,100,100,100,77,40,13.89999962
0206,1,0206,6,1,3,1,SS01,BA264,2,BS264,100,100,100,100,100,100,100,99,99,82,42,16.60000038
0210,2,0202,6,2,1,2,UG01,B11,1,BG11,100,100,100,88,73,59,53,43,37,22,14,8.899999619
0212,2,0211,6,2,1,2,UG01,B40,1,BG40,100,100,100,86,76,61,53,42,34,22,15,10.39999962
0501,1,0501,6,1,1,1,SS01,BA1,1,BS01,100,100,100,100,100,100,100,99,96,66,35,16.70000076
0501,2,0505,6,2,1,2,UG01,BA4,1,BG02,100,100,100,97,93,85,79,64,37,19,13,8.300000191
0501,2,0507,6,2,1,2,UG01,TP2,1,BG92,100,95,92,85,79,69,64,53,40,23,15,9.5
0501,2,0561,6,2,1,2,SS01,TP3,1,BG91,100,100,97,90,86,79,74,63,47,25,16,10.19999981
0502,1,0505,6,1,1,2,SS01,BA4,1,BS02,100,98,93,89,84,78,73,62,50,30,19,11.19999981
0502,1,0508,6,1,3,1,SS01,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019
0502,1,0560,6,1,1,1,SS01,BA7,1,BS01,100,100,100,100,99,98,96,92,84,49,28,16.5
0502,1,0566,6,1,1,2,SS01,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924
0502,2,0502,6,2,1,2,UG01,TP1,1,BG92,100,100,95,95,95,89,85,71,50,29,20,11.69999981
0502,2,0504,6,2,3,2,UG01,BA040*,3,BG040*,92,88,86,81,78,69,64,52,40,22,14,8.399999619
0502,2,0508,6,2,3,1,UG01,BA080*,3,BG080*,100,100,96,89,84,76,71,58,45,27,17,10.60000038
0502,2,0564,6,2,1,2,SS01,BA9,1,BG01,100,100,98,95,90,82,74,60,47,28,19,12.60000038
0502,2,0568,6,2,1,1,UG01,BA12,1,BG02,100,100,100,97,93,83,76,62,49,28,18,11.5
0503,1,0501,6,1,1,1,SS01,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962
0503,1,0501,6,1,1,1,SS01,BA1,1,BS01,100,100,100,100,100,100,100,99,96,66,35,16.70000076
0503,1,0502,6,1,1,2,SS01,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962
0503,2,0566,6,2,1,2,SS01,TP4,1,BG91,100,95,89,79,72,64,59,50,39,22,14,8.699999809
0504,1,0504,6,1,3,2,SS01,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076
0504,1,0508,6,1,3,1,SS01,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019
0504,1,0566,6,1,1,1,SS01,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924
0504,2,0501,6,2,1,1,UG01,BA1,1,BG01,100,100,100,98,95,88,82,69,61,35,22,12.69999981
0504,2,0507,6,2,1,2,UG01,TP2,1,BG92,100,95,92,85,79,69,64,53,40,23,15,9.5
0505,1,0501,6,1,1,1,SS01,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962
0505,1,0501,6,1,1,1,SS01,BA1,1,BS01,100,100,100,100,100,100,100,99,96,66,35,16.70000076
0505,2,0508,6,2,3,1,UG01,BA080*,3,BG080*,100,100,96,89,84,76,71,58,45,27,17,10.60000038
0505,2,0566,6,2,1,2,SS01,TP4,1,BG91,100,95,89,79,72,64,59,50,39,22,14,8.699999809
0506,1,0505,6,1,1,2,SS01,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076
0506,1,0507,6,1,1,2,SS01,TP2,1,BS93,100,100,100,100,100,100,100,99,96,64,36,21.79999924
0506,1,0561,6,1,1,2,SS01,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962
0506,2,0505,6,2,1,2,UG01,BA3,1,BG01,100,100,100,99,95,87,80,63,38,20,14,9.399999619
0502,1,0506,1,1,1,1,SS01,BA3,1,BS03,100,100,100,100,100,100,99.80000305,99.09999847,97.90000153,67.59999847,33.29999924,20.79999924
