LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
1,564,4155,1,1,1,1,BA*,BS**,1,216
2,564,508,1,2,1,2,BA5,BG10,1,310
2,564,508,1,2,1,2,BA4,BG08,1,310
3,564,506,1,3,4,2,BA302,BG303,2,308
1,604,606,1,1,1,3,TP2,BS58,2,266
2,604,607,1,2,1,2,BA2,BG02,2,303
1,606,606,1,1,3,1,BA511,BS306,2,266
1,606,606,1,1,3,2,BA507,BS312,2,266
1,606,606,1,1,3,1,BAX02,BSX02,2,115
1,606,606,1,1,3,2,BAX04,BSX04,2,267
2,662,606,1,2,3,1,BAX05,BGX01,2,308
2,662,607,1,2,1,2,BA3,BG03,2,303
3,1011,1011,1,3,1,2,BA*,BG**,1,303
1,4155,4155,1,1,1,2,BA*,BS**,1,216
2,6019,6019,1,2,1,2,BA*,BG**,2,310
1,A330,4125,1,1,1,1,BA*,BS**,1,217
2,A330,4125,1,2,1,1,BA*,BG**,1,310
1,B330,1019,1,1,1,1,BA*,BS**,1,145
1,B340,1019,1,1,1,2,TP1,BS55,1,202
1,C310,4155,1,1,1,2,BA*,BS**,1,216
1,C310,4155,1,1,1,1,BA*,BS**,1,216
2,C330,4155,1,2,1,1,BA*,BG**,1,303
1,1001,1001,2,1,1,1,TP2,BS81,1,265
2,1001,1001,2,2,1,1,TP2,BG81,1,304
2,1004,1004,2,2,1,1,TP2,BG82,1,308
1,113,123,4,1,1,2,B306,BS06,1,211
1,114,116,4,1,1,2,B310,BS10,1,215
1,115,116,4,1,1,2,B310,BS10,1,215
1,117,122,4,1,1,2,B313,BS13,1,215
1,118,118,4,1,1,2,B311,BS11,1,217
2,118,160,4,2,1,2,B302,BG02,1,304
2,118,161,4,2,1,2,B319,BG19,1,302
1,119,114,4,1,1,2,B309,BS09,1,215
1,119,117,4,1,1,2,B304,BS04,1,215
1,120,120,4,1,1,2,B315,BS15,1,211
2,121,120,4,2,1,2,B316,BG16,1,302
1,122,117,4,1,1,2,B304,BS04,1,215
1,123,113,4,1,1,2,B317,BS17,1,211
1,123,123,4,1,1,2,B306,BS06,1,211
1,124,114,4,1,1,2,B309,BS09,1,215
2,160,119,4,2,1,2,B308,BG08,1,302
1,161,121,4,1,3,1,BA263,BS263,2,217
1,161,121,4,1,1,2,B314,BS14,1,261
1,163,163,4,1,1,2,B321,BS21,1,261
1,213,217,4,1,1,2,B309,BS09,1,215
2,215,224,4,2,1,2,B305,BG05,1,304
1,216,223,4,1,1,2,B308,BS08,1,215
2,216,264,4,2,1,2,B314,BG14,1,304
1,218,220,4,1,1,2,B304,BS04,1,217
1,218,263,4,1,1,2,B313,BS13,1,217
1,220,222,4,1,1,2,B303,BS03,1,217
1,220,263,4,1,1,2,B313,BS13,1,217
2,224,215,4,2,1,2,B307,BG07,1,304
1,260,260,4,1,1,2,B317,BS17,1,214
1,262,217,4,1,1,2,B309,BS09,1,215
1,263,263,4,1,1,2,B313,BS13,1,217
2,263,264,4,2,1,2,B314,BG14,1,304
1,264,265,4,1,1,2,B315,BS15,1,217
1,265,265,4,1,1,2,B315,BS15,1,217
1,265,267,4,1,1,2,B316,BS16,1,217
1,266,267,4,1,1,2,B316,BS16,1,217
2,501,505,4,2,1,2,BA*,BG*3,1,211
1,502,502,4,1,1,2,TP2,BS92,1,217
1,502,559,4,1,1,2,BA*,BS*4,1,215
2,502,502,4,2,1,2,TP2,BG91,1,255
1,503,505,4,1,1,2,BA*,BS*3,1,217
2,503,559,4,2,1,2,BA*,BG*4,1,205
1,504,504,4,1,1,2,TP1,BS92,1,265
2,504,505,4,2,1,2,BA*,BG*3,1,211
2,505,502,4,2,1,2,TP2,BG91,1,255
2,505,504,4,2,1,2,TP1,BG91,1,253
2,505,505,4,2,1,2,BA*,BG*6,1,254
2,505,507,4,2,1,1,BA*,BG*5,1,215
1,507,507,4,1,1,1,BA*,BS*1,1,265
2,507,507,4,2,1,1,BA*,BG*1,1,205
2,507,507,4,2,1,1,BA*,BG*5,1,215
2,507,559,4,2,1,2,BA*,BG*4,1,205
1,562,503,12,1,3,1,BAX01,BSX01,2,202
1,562,506,12,1,3,2,BAX02,BSX02,2,202
2,562,506,12,2,3,2,BAX04,BGX02,2,304
3,562,503,12,3,3,1,BAX08,BGX06,2,303
3,562,506,12,3,3,2,BAX06,BGX04,2,303
3,563,563,12,3,1,2,TP3,BG59,1,303
3,564,563,12,3,1,2,TP3,BG59,1,303
2,565,563,12,2,1,2,TP3,BG60,1,308
3,565,503,12,3,1,1,TP1,BG55,1,304
1,566,563,12,1,1,2,TP3,BS57,1,202
3,566,563,12,3,1,2,TP3,BG59,1,303
3,566,1030,12,3,1,1,BA*,BG**,1,308
3,1030,1030,12,3,1,2,TP1,BG55,1,308
