LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,CONSTRUCTION_NO
1,A350,4087,40,1,1,2,BA*,BS**,25,18,7,1
2,A410,4160,40,2,1,1,BA*,BG**,24,16,8,1
2,A420,4160,40,2,1,2,BA*,BG**,21,14,7,1
2,A430,4160,40,2,1,2,BA*,BG**,21,14,7,1
1,B310,1015,40,1,1,2,BA*,BS**,,,NP,1
1,C310,4088,40,1,1,2,BA*,BS**,38,19,19,1
1,C320,4088,40,1,1,1,BA*,BS**,24,15,9,1
3,5006,5006,41,3,1,2,BA*,BG**,27,21,6,1
1,5022,5022,41,1,1,2,BA6,BS16,35,19,16,1
1,0601,0608,42,1,5,2,BA245,BS245,27,16,11,2
2,0602,0608,42,2,4,3,BA6,BG06,,,NP,2
1,0603,0608,42,1,5,2,BA244,BS244,26,15,11,2
2,0603,0603,42,2,3,3,B5,BG05,,,,2
2,0603,0608,42,2,5,2,BA244,BG244,20,15,5,2
3,0562,0508,12,3,3,2,BA303,BG305,14,14,NP,2
3,0562,0563,12,3,1,2,TP3,BG59,,,NP,1
3,0562,0565,12,3,3,2,BA501,BG307,14,12,2,2
2,0563,0565,12,2,3,1,BA501,BG308,17,20,NP,2
2,0564,0504,12,2,3,1,BAX05,BGX03,15,18,np,2
3,0564,0503,12,3,3,1,BAX08,BGX06,14,13,1,2
1,0565,1030,12,1,1,2,TP1,BS55,,,NP,1
3,0565,1030,12,3,1,1,BA*,BG**,,,NP,1
1,0566,0508,12,1,3,2,BA303,BS303,,17,NP,2
2,0566,0506,12,2,3,2,BAX04,BGX02,16,19,NP,2
2,0566,0563,12,2,1,2,TP3,BG60,,,NP,1
3,0566,0503,12,3,1,1,TP1,BG55,,,NP,1
1,1030,1030,12,1,1,1,BA**,BS**,,,NP,1
2,1030,1030,12,2,1,2,TP1,BG56,,,NP,1
1,3997,3997,12,1,1,2,TP1,BS55,,,NP,1
1,4000,4000,12,1,1,2,BA*,BS**,,,NP,1
1,4099,4099,12,1,1,2,TP1,BS55,,,NP,1
1,4106,4106,12,1,1,2,TP1,BS55,,,NP,1
2,4107,4107,12,2,1,1,BA*,BG**,,,NP,1
1,4108,4108,12,1,1,2,TP1,BS55,,,NP,1
2,4108,4108,12,2,1,1,BA*,BG**,,,NP,1
3,4135,4135,12,3,1,2,TP1,BG55,,,NP,1
1,4136,4136,12,1,1,2,TP1,BS55,,,NP,1
2,4137,4137,12,2,1,1,BA*,BG**,,,NP,1
2,A310,9054,12,2,1,1,BA*,BG**,,,NP,1
2,A321,9054,12,2,1,2,TP1,BG56,,,NP,1
3,A330,9054,12,3,1,1,BA*,BG**,,,NP,1
1,A350,9054,12,1,1,2,TP1,BS55,,,NP,1
1,A350,9054,12,1,1,1,BA*,BS**,,,NP,1
2,A350,9054,12,2,1,2,TP1,BG56,,,NP,1
3,A351,9054,12,3,1,2,TP1,BG55,,,NP,1
1,B310,3997,12,1,1,2,TP1,BS55,,,NP,1
2,B310,3997,12,2,1,1,BA*,BG**,,,NP,1
1,B320,3997,12,1,1,1,BA*,BS**,,,NP,1
2,B320,3997,12,2,1,1,BA*,BG**,,,NP,1
2,B321,3997,12,2,1,2,TP1,BG56,,,NP,1
2,B321,3997,12,2,1,1,BA*,BG**,,,NP,1
3,B350,3997,12,3,1,2,TP1,BG55,,,NP,1
2,C310,4154,12,2,1,1,BA*,BG**,,,NP,2
2,C321,4154,12,2,1,1,BA*,BG**,,,NP,2
2,C350,4154,12,2,1,2,TP1,BG55,,,NP,2
1,0502,0507,13,1,1,1,BA*,BS**,28,25,3,1
1,0503,0509,13,1,3,2,BA306,BS303,34,24,10,2
2,0503,0507,13,2,1,1,BA*,BG**,0,0,NP,1
3,M340,3749,48,3,1,2,TP1,BG55,,,NP,1
3,N310,3739,48,3,1,2,TP1,BG55,,,NP,1
1,N320,3739,48,1,1,2,TP1,BS55,,,NP,1
1,N330,3739,48,1,1,1,BA*,BS**,,,NP,1
3,N330,3739,48,3,1,2,TP1,BG55,,,NP,1
3,N350,3739,48,3,1,2,TP1,BG55,,,NP,1
2,Q320,3865,48,2,1,1,BA*,BG**,18,17,1,1
