LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM,COARSE_SAND,FINE_SAND,SILT,CLAY,COLLOIDS
1,0506,0502,4,1,1,2,TP2,1,BS92,100,100,100,100,100,97,96,87,67,43,36,28.5,15.39999962,6.900000095,5.599999905,33,24,14,21.60000038,6.900000095,5.599999905
1,0506,0504,4,1,1,2,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5,13.19999981,6.099999905,5.5,41,18,16,19.39999962,6.099999905,5.5
1,0506,0509,4,1,1,1,BA*,1,BS*2,100,100,99,98,98,95,93,83,68,44,35,24.39999962,14.10000038,6.900000095,5.900000095,32,24,20,17.5,6.900000095,5.900000095
1,0507,0505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191,29,23,15,23.60000038,9.300000191,7.800000191
1,0508,0504,4,1,1,2,TP1,1,BS92,100,100,99,98,95,90,86,73,59,41,33,25.5,13.19999981,6.099999905,5.5,41,18,16,19.39999962,6.099999905,5.5
1,0508,0505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191,29,23,15,23.60000038,9.300000191,7.800000191
1,0509,0505,4,1,1,2,BA*,1,BS*3,100,100,100,99,97,96,94,87,74,55,47,38.70000076,18.60000038,9.300000191,7.800000191,29,23,15,23.60000038,9.300000191,7.800000191
1,0509,0507,4,1,1,1,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962,15.10000038,7.099999905,6.400000095,38,18,18,19.29999924,7.099999905,6.400000095
1,0509,0559,4,1,1,2,BA*,1,BS*4,100,100,100,100,99,98,96,88,71,48,40,32.90000153,18.70000076,8.800000191,7.400000095,26,19,16,29.89999962,8.800000191,7.400000095
1,0560,0507,4,1,1,1,BA*,1,BS*1,100,100,99,97,95,89,86,72,62,44,34,26.39999962,15.10000038,7.099999905,6.400000095,38,18,18,19.29999924,7.099999905,6.400000095
1,1016,1016,4,1,1,1,BA*,1,BS**,100,99,96,82,74,63,58,47,39,27,19,13.80000019,8.600000381,4.599999905,3.099999905,61,12,13,9.199999809,4.599999905,3.099999905
1,1021,1021,4,1,1,2,TP1,1,BS92,100,100,100,99,98,97,96,91,82,66,43,23.20000076,10.10000038,2.099999905,1,18,16,43,21.39999962,2.099999905,1
1,6053,6053,4,1,1,2,TP1,1,BS92,100,100,100,100,100,99,99,93,71,51,40,30.39999962,17.20000076,8.399999619,7.300000191,29,20,21,22,8.399999619,7.300000191
1,6054,6054,4,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,94,79,50,38,30.10000038,14.39999962,5.800000191,4.199999809,21,29,20,24.29999924,5.800000191,4.199999809
1,6060,6060,4,1,1,2,TP1,2,BS92,100,97,93,90,87,82,79,70,52,28,18,10,9,5.800000191,4.5,48,24,18,4.199999809,5.800000191,4.5
1,7613,7613,4,1,1,1,BA*,1,BS**,100,89,85,70,61,50,43,33,26,20,16,13.10000038,9.899999619,4.900000095,3.299999952,74,6,7,8.199999809,4.900000095,3.299999952
1,A320,1036,4,1,1,1,BA*,1,BS**,100,100,99,98,96,92,88,76,56,29,17,12.39999962,8.899999619,6,5,44,27,17,6.400000095,6,5
1,A350,1036,4,1,1,2,TP1,1,BS70,100,98,94,93,88,83,78,68,48,22,11,9,7.300000191,6.199999809,5.400000095,52,26,13,2.799999952,6.199999809,5.400000095
1,A430,7613,4,1,1,2,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5,31.89999962,16.10000038,10.89999962,30,11,16,27.39999962,16.10000038,10.89999962
1,A447,7613,4,1,1,2,BA*,1,BS**,100,100,100,98,96,92,89,77,70,59,52,43.5,31.89999962,16.10000038,10.89999962,30,11,16,27.39999962,16.10000038,10.89999962
1,A450,7613,4,1,1,1,BA*,1,BS**,100,89,85,70,61,50,43,33,26,20,16,13.10000038,9.899999619,4.900000095,3.299999952,74,6,7,8.199999809,4.900000095,3.299999952
1,B310,1021,4,1,1,2,TP1,1,BS92,100,100,100,99,98,97,96,91,82,66,43,23.20000076,10.10000038,2.099999905,1,18,16,43,21.39999962,2.099999905,1
1,B350,1021,4,1,1,1,BA*,1,BS**,100,100,99,98,97,94,92,85,74,56,35,19.60000038,11.30000019,4.099999905,2.700000048,26,18,36,15.5,4.099999905,2.700000048
1,B961,1007,4,1,1,1,BA*,1,BS**,100,100,100,99,97,94,92,83,61,39,30,23.5,13.89999962,6,3.799999952,39,22,16,17.5,6,3.799999952
1,C330,1017,4,1,1,1,BA*,2,BS**,100,99,99,94,89,83,79,68,55,37,28,22.70000076,18.39999962,8.800000191,6.5,45,18,14,13.89999962,8.800000191,6.5
1,D320,1016,4,1,1,1,BA*,1,BS**,100,99,96,82,74,63,58,47,39,27,19,13.80000019,8.600000381,4.599999905,3.099999905,61,12,13,9.199999809,4.599999905,3.099999905
1,D330,1016,4,1,1,1,BA*,1,BS**,100,99,96,82,74,63,58,47,39,27,19,13.80000019,8.600000381,4.599999905,3.099999905,61,12,13,9.199999809,4.599999905,3.099999905
1,D350,1016,4,1,1,2,TP1,1,BS92,100,90,82,76,70,64,60,52,43,30,22,15.19999981,10,4.900000095,3.099999905,57,13,15,10.30000019,4.900000095,3.099999905
1,0113,0114,5,1,5,1,BA*,1,BS**,100,100,100,100,100,99,99,98,95,87,52,35.5,20.20000076,9.399999619,,5,8,52,26.10000038,9.399999619,
1,0114,0114,5,1,5,2,BA*,1,BS**,100,100,100,100,100,100,100,99,99,87,20,10,7.099999905,4.300000191,,1,12,77,5.699999809,4.300000191,
1,0114,0121,5,1,1,2,B2,1,BS02,100,100,100,100,100,100,100,100,98,92,33,18,11.30000019,6.199999809,6,2,6.300000191,73,12.10000038,6.199999809,6
1,0117,0119,5,1,1,2,B1,1,BS01,100,100,100,100,100,100,100,100,99,94,49,31,15.30000019,7.699999809,6.699999809,1,5,63,23.29999924,7.699999809,6.699999809
1,0119,0121,5,1,1,2,B2,1,BS02,100,100,100,100,100,100,100,100,98,92,33,18,11.30000019,6.199999809,6,2,6.300000191,73,12.10000038,6.199999809,6
1,0122,0117,5,1,1,2,B5,1,BS05,100,100,100,100,100,100,100,100,99,88,39,24,13.30000019,5,4,0.899999976,11,64,18.5,5,4
1,0218,0215,5,1,1,3,B1,1,BS01,100,100,95.40000153,91.19999695,86.59999847,75.19999695,67.90000153,51.79999924,38.09999847,26.5,18.79999924,13.80000019,9.100000381,2.5,1,61.90000153,13.30000019,11.69999981,10.60000038,2.5,
1,0224,0224,5,1,4,2,BA*,4,BS**,100,100,100,100,99,97,95,88,81,74,69,65.30000305,44.90000153,29.29999924,,19,7,9,36,29.29999924,
1,0809,0809,5,1,1,2,B2,1,BS02,100,100,100,100,100,100,100,100,100,99,99,91.5,45.09999847,21.39999962,,0,0,8,70.80000305,21.39999962,
1,0810,0810,5,1,1,2,B3,1,BS03,100,100,100,100,100,100,100,100,100,99,99,73.80000305,51,23.89999962,,0,0,26,50,23.89999962,
1,2042,2042,5,1,1,2,BA*,1,BS**,100,100,100,100,99,97,96,93,90,85,80,68.90000153,29,14.60000038,0,10,5,16,54.29999924,14.60000038,0
1,3074,3074,5,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,100,98,96,95,93.80000305,60,22.89999962,0,2,2,2,71,23,0
1,4019,4019,5,1,1,2,BA*,1,BS**,100,100,100,100,100,100,100,100,100,99,96,37.40000153,13,7.699999809,,0,0,63,29.70000076,7.699999809,
1,4046,4046,5,1,1,1,BA*,1,BS**,100,100,100,100,99,99,99,99,99,97,93,91.5,59,33,0,1,2,6,58.5,33,0
1,A320,3071,5,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,100,99,98,96,91.5,61,35.79999924,0,1,1,7,55.70000076,35.79999924,0
1,A430,4021,5,1,1,2,BA*,1,BS**,100,100,99,96,93,87,82,72,63,48,36,31,25,10.89999962,0,37,15,17,20.10000038,10.89999962,0
1,A605,A606,5,1,1,2,A3,1,BS03,100,100,100,100,100,100,100,99,99,97,95,64.90000153,52.09999847,40.40000153,,1,2,32,24.10000038,40.40000153,
1,A607,A601,5,1,1,2,A1,1,BS01,100,100,100,100,100,100,100,100,100,99,98,87.30000305,72,44.40000153,,0,2,13,40.70000076,44.40000153,
1,A608,A607,5,1,1,2,TP2,1,BS56,100,100,100,100,96,92,92,90,89,87,86,73.30000305,65.90000153,52.59999847,,11,13,19,4.099999905,52.59999847,
1,C410,3059,5,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,98,93,88,83,55.79999924,15.5,9.199999809,,7,5,32,46.59999847,9.199999809,
1,C430,3059,5,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,98,93,88,83,55.79999924,15.5,9.199999809,,7,5,32,46.59999847,9.199999809,
1,0202,0202,6,1,1,2,B11,1,BS11,100,100,100,100,100,100,100,100,100,80,44,18.10000038,6.5,2.700000048,,0,20,62,15.39999962,2.700000048,
1,0202,0211,6,1,1,1,B7,1,BS07,100,100,100,100,99,97,96,94,93,75,41,18.39999962,7.699999809,2.900000095,,7,18,54,17.70000076,2.900000095,
1,0203,0203,6,1,3,1,BA261,3,BS261,100,100,100,100,98,94,92,89,88,69,35,11,3.599999905,1.100000024,,12,19,58,9.899999619,1.100000024,
1,0206,0207,6,1,1,1,B8,1,BS08,100,100,100,100,100,100,100,100,100,79,42,14.39999962,3.200000048,0.800000012,,0,21,65,13.60000038,0.800000012,
1,0208,0210,6,1,1,1,B10,1,BS10,100,100,100,100,100,100,100,100,99,78,40,16.10000038,5.699999809,2.400000095,,1,21,62,13.69999981,2.400000095,
1,0208,0211,6,1,1,1,B7,1,BS07,100,100,100,100,99,97,96,94,93,75,41,18.39999962,7.699999809,2.900000095,,7,18,54,17.70000076,2.900000095,
1,0209,0204,6,1,1,2,B12,1,BS12,100,100,100,100,100,100,100,100,99,80,46,21.39999962,9.100000381,3.599999905,,1,19,59,17.79999924,3.599999905,
1,0212,0211,6,1,1,1,B7,1,BS07,100,100,100,100,99,97,96,94,93,75,41,18.39999962,7.699999809,2.900000095,,7,18,54,17.70000076,2.900000095,
1,0501,0502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,,4,40,43,8.699999809,3.900000095,
1,0501,0504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,,19,29,32,14.60000038,5.599999905,
1,0501,0507,6,1,1,2,TP2,1,BS93,100,100,100,100,100,100,100,99,96,64,36,21.79999924,12.60000038,6.199999809,,4,38,38,13.60000038,6.199999809,
1,0501,0509,6,1,1,2,BA6,1,BS02,100,100,100,100,100,99,98,97,91,60,35,20.39999962,13.39999962,7,,9,34,36,14.10000038,7,
1,0501,0509,6,1,1,2,BA5,1,BS01,100,94,94,93,93,93,93,90,87,59,35,19.70000076,15.30000019,7.900000095,,13,32,32,14.80000019,7.900000095,
1,0501,0560,6,1,1,1,BA7,1,BS01,100,100,100,100,99,98,96,92,84,49,28,16.5,13.5,8.100000381,,16,34,33,9.5,8.100000381,
1,0502,0501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,,9,34,42,11,4.199999809,
1,0502,0502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,,4,40,43,8.699999809,3.900000095,
1,0502,0566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,,2,31,49,12.89999962,5.599999905,
1,0504,0508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48,20,19,9.699999809,3.099999905,
1,0505,0504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,,19,29,32,14.60000038,5.599999905,
1,0505,0508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48,20,19,9.699999809,3.099999905,
1,0506,0505,6,1,1,1,BA4,1,BS02,100,98,93,89,84,78,73,62,50,30,19,11.19999981,4.800000191,2.200000048,,50,23,16,8.399999619,2.200000048,
1,0506,0508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48,20,19,9.699999809,3.099999905,
1,0507,0502,6,1,3,1,BA020*,4,BS020*,100,100,100,100,97,95,95,91,83,51,30,16.5,11.30000019,5.099999905,,17,34,32,11.39999962,5.099999905,
1,0508,0501,6,1,1,1,BA1,1,BS01,100,100,100,100,100,100,100,99,96,66,35,16.70000076,9.399999619,4.199999809,,4,31,49,12.10000038,4.199999809,
1,0508,0505,6,1,1,1,BA4,1,BS02,100,98,93,89,84,78,73,62,50,30,19,11.19999981,4.800000191,2.200000048,,50,23,16,8.399999619,2.200000048,
1,0508,0566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,,2,31,49,12.89999962,5.599999905,
1,0509,0504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,,19,29,32,14.60000038,5.599999905,
1,0509,0509,6,1,1,2,BA5,1,BS01,100,94,94,93,93,93,93,90,87,59,35,19.70000076,15.30000019,7.900000095,,13,32,32,14.80000019,7.900000095,
1,0509,0561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8,37,40,8.699999809,5.699999809,
1,0560,0501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,,9,34,42,11,4.199999809,
1,0560,0502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,,4,40,43,8.699999809,3.900000095,
1,0560,0509,6,1,1,2,BA6,1,BS02,100,100,100,100,100,99,98,97,91,60,35,20.39999962,13.39999962,7,,9,34,36,14.10000038,7,
1,0560,0560,6,1,1,1,BA8,1,BS02,100,100,100,100,99,97,95,91,83,54,33,19.79999924,13.60000038,6.300000191,,17,27,36,13.30000019,6.300000191,
1,0560,0561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8,37,40,8.699999809,5.699999809,
1,0560,0566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,,2,31,49,12.89999962,5.599999905,
1,0561,0504,6,1,3,2,BA040*,3,BS040*,100,100,100,100,98,95,93,88,81,52,33,20.20000076,12,5.599999905,,19,29,32,14.60000038,5.599999905,
1,0565,0564,6,1,1,2,BA9,1,BS01,100,100,100,99,99,99,98,96,90,66,48,34,20.10000038,9.699999809,,10,27,31,22.89999962,9.699999809,
1,0566,0505,6,1,1,1,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076,8.899999619,3.900000095,,10,37,36,13,3.900000095,
1,0567,0502,6,1,1,2,TP1,1,BS93,100,100,100,100,100,100,100,99,96,59,31,13.39999962,5.800000191,3.900000095,,4,40,43,8.699999809,3.900000095,
1,0567,0560,6,1,1,1,BA7,1,BS01,100,100,100,100,99,98,96,92,84,49,28,16.5,13.5,8.100000381,,16,34,33,9.5,8.100000381,
1,0567,0561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8,37,40,8.699999809,5.699999809,
1,0569,0501,6,1,1,1,BA2,1,BS02,100,100,100,99,99,98,97,96,91,58,29,16.39999962,8.800000191,4.199999809,,9,34,42,11,4.199999809,
1,0569,0566,6,1,1,2,TP4,1,BS92,100,100,100,100,100,100,100,99,98,67,34,18.79999924,16.89999962,5.599999905,,2,31,49,12.89999962,5.599999905,
1,0570,0508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48,20,19,9.699999809,3.099999905,
1,0570,0561,6,1,1,2,TP3,1,BS93,100,100,100,100,100,100,100,99,92,52,28,15.89999962,10.5,5.699999809,,8,37,40,8.699999809,5.699999809,
1,0571,0505,6,1,1,1,BA3,1,BS01,100,100,100,100,100,99,98,95,90,52,30,17.20000076,8.899999619,3.900000095,,10,37,36,13,3.900000095,
1,0571,0508,6,1,3,1,BA080*,3,BS080*,100,100,97,92,86,78,74,63,52,32,21,12.80000019,7.199999809,3.099999905,,48,20,19,9.699999809,3.099999905,
1,0603,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024,62,14,11,11.89999962,1.399999976,1.100000024
1,0604,0659,6,1,3,1,BA262,4,BS262,100,100,100,91,86,79,73,59,44,25,17,10.89999962,4.599999905,1.299999952,1,56,19,14.10000038,9.600000381,1.299999952,1
1,0605,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024,62,14,11,11.89999962,1.399999976,1.100000024
1,0605,3005,6,1,1,1,BA*,1,BS**,100,98,95,87,82,73,67,54,42,25,19,14,7.300000191,1.5,1.299999952,58,17,11,12.5,1.5,1.299999952
1,0608,0662,6,1,3,2,BAX02,5,BSX02,92,88,81,73,64,53,46,33,22,11,7,5,2.200000048,0.300000012,,78,11,6,4.699999809,0.300000012,
1,0659,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024,62,14,11,11.89999962,1.399999976,1.100000024
1,0660,0606,6,1,3,2,BAX01,6,BSX01,100,96,91,88,86,81,77,66,53,33,24,15.39999962,7.5,2,,47,20,18,13.39999962,2,
1,0660,0660,6,1,3,1,BA261,8,BS261,100,100,98,92,87,80,76,69,60,40,25,10.5,3.200000048,0.899999976,0.699999988,40,20,29.5,9.600000381,0.899999976,0.699999988
1,0663,0663,6,1,3,1,BA265,10,BS265,95,94,89,82,75,65,60,46,31,17,12,8.600000381,3.5,0.800000012,0.600000024,69,14,8.399999619,7.800000191,0.800000012,0.600000024
1,0664,3005,6,1,1,2,BA*,1,BS**,100,92,86,77,70,63,57,47,38,24,19,13.30000019,8.300000191,1.399999976,1.100000024,62,14,11,11.89999962,1.399999976,1.100000024
1,0811,0812,6,1,1,2,B8,1,BS08,100,100,100,100,100,100,100,100,100,86,43,11.89999962,2.799999952,1.700000048,,0,14,74,10.19999981,1.700000048,
1,2038,2038,6,1,1,2,TP1,1,BS92,100,100,100,100,100,100,100,100,99,85,39,25.39999962,24,11.30000019,9.5,1,14,60,14.10000038,11.30000019,9.5
1,2041,2041,6,1,1,2,TP1,1,BS92,100,96,91,81,72,60,51,37,31,21,16,11,7.099999905,2.799999952,2,69,10,10,8.199999809,2.799999952,2
1,2053,2053,6,1,1,1,BA*,1,BS**,100,100,100,100,100,100,98,80,74,67,62,56.20000076,38.70000076,26.10000038,23.10000038,26,7,11,30.10000038,26.10000038,23.10000038
1,3010,3010,6,1,1,1,BA*,1,BS**,100,96,96,89,87,84,83,81,77,60,46,36.40000153,30.39999962,19.60000038,17.39999962,23,17,24,16.79999924,19.60000038,17.39999962
1,3013,3013,6,1,1,2,BA*,1,BS**,100,100,100,100,99,99,98,95,88,58,43,30.60000038,18.89999962,7.400000095,6.199999809,12,30,27,23.60000038,7.400000095,6.199999809
1,7452,7452,6,1,1,2,TP1,1,BS92,100,100,100,99,99,98,97,92,86,78,68,55.90000153,39.70000076,22.20000076,19,14,8,22,33.79999924,22.20000076,19
1,7493,7493,6,1,1,1,BA*,1,BS**,100,100,100,100,100,99,99,95,81,46,27,14.39999962,5.800000191,2.099999905,1.600000024,19,35,32,12.30000019,2.099999905,1.600000024
1,8150,8150,6,1,1,2,TP1,1,BS92,100,100,100,100,100,100,100,99,98,85,54,26.29999924,7.099999905,6.099999905,0,2,13,59,20.20000076,6.099999905,0
1,8151,8151,6,1,1,1,BA*,1,BS**,100,100,100,100,99,97,96,90,69,33,19,11.80000019,6.699999809,2.599999905,1.600000024,31,36,21,9.199999809,2.599999905,1.600000024
1,8153,8153,6,1,1,2,TP1,1,BS94,100,100,100,100,100,99,98,91,87,81,77,65.59999847,50.09999847,24.29999924,21.29999924,13,6,15,41.29999924,24.29999924,21.29999924
1,A311,1253,6,1,1,1,BA*,1,BS**,100,100,100,100,98,91,85,69,60,45,37,28.39999962,21.79999924,4.800000191,4,40,15,17,23.60000038,4.800000191,4
1,A350,1253,6,1,1,2,TP1,1,BS92,100,94,93,86,81,75,71,61,52,33,22,13.80000019,9,1.799999952,1.299999952,48,19,19,12,1.799999952,1.299999952
1,A361,1253,6,1,1,1,BA*,1,BS**,100,100,100,100,98,91,85,69,60,45,37,28.39999962,21.79999924,4.800000191,4,40,15,17,23.60000038,4.800000191,4
1,A422,3021,6,1,1,2,BA*,1,BS**,100,100,100,100,100,100,100,97,77,34,20,12.19999981,6.800000191,2,1.200000048,23,43,22,10.19999981,2,1.200000048
1,A430,3021,6,1,1,1,BA*,1,BS**,100,100,100,100,100,100,100,99,84,46,28,16.70000076,10.5,4.5,3.900000095,16,38,29,12.19999981,4.5,3.900000095
1,A805,A806,6,1,1,1,B6,1,BS06,100,100,100,100,100,100,100,100,100,71,35,14,4.800000191,2,,0,29,57,12,2,
1,B423,7455,6,1,1,1,BA1,1,BS01,100,100,100,100,100,98,94,81,77,72,67,56.09999847,44.40000153,25.79999924,22.70000076,23,5,16,30.29999924,25.79999924,22.70000076
1,B451,7455,6,1,1,1,BA1,1,BS01,100,100,100,100,100,98,94,81,77,72,67,56.09999847,44.40000153,25.79999924,22.70000076,23,5,16,30.29999924,25.79999924,22.70000076
1,0213,0213,8,1,5,1,BA262,1,BS262,100,100,100,98,97,96,96,94,91,70,29,10.89999962,7.099999905,5,,9,21,59,5.900000095,5,
