LINKED_SHRP_ID,LINKED_LAYER_NO,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE
0602,1,0606,19,1,1,1,TP-3,BS-57,1,1890.4,12
0604,2,0604,19,2,1,1,TP-2,BG-56,1,2290.9,7
0606,2,0604,19,2,2,2,BA309,BG305,6,2302.1,6
0607,2,0601,19,2,3,1,BAX01,BGX01,8,2044.2,10
0607,2,0604,19,2,1,1,TP-2,BG-56,1,2290.9,7
0608,2,0604,19,2,2,2,BA309,BG305,6,2302.1,6
0701,2,0705,19,2,1,1,TP3,BG06,2,1938.4,12
0703,1,0705,19,1,1,1,TP3,BS03,2,1954.4,17
0703,2,0702,19,2,1,1,TP1,BG02,2,1954.4,11
0704,2,0705,19,2,1,1,TP3,BG06,2,1938.4,12
0704,3,0705,19,3,1,1,TP3,BG05,2,2258.8,5
0705,2,0707,19,2,1,1,TP2,BG04,2,1890.4,11
0705,3,0702,19,3,1,1,TP1,BG01,2,2226.8,6
0707,2,0705,19,2,1,1,TP3,BG06,2,1938.4,12
0708,3,0705,19,3,1,1,TP3,BG05,2,2258.8,5
0708,3,0707,19,3,1,1,TP2,BG03,2,2226.8,6
1044,1,1044,19,1,1,2,TP1,BS55,1,1890.4,13
3033,1,3033,19,1,1,1,BX01,BSX01,1,1890.4,13
9126,3,9126,19,3,1,2,TP1,BG55,2,2130.7,8
A330,1,6150,19,1,1,1,BX03,BSX03,1,1762.2,16
A340,2,6150,19,2,1,1,BX01,BGX01,1,2226.8,7
A350,1,6150,19,1,1,1,BX03,BSX03,1,1762.2,16
A350,2,6150,19,2,1,1,BX01,BGX01,1,2226.8,7
B410,2,3009,19,2,1,1,BX01,BGX01,1,2066.6,7
0101,1,0102,20,1,1,7,B2,BS08,1,1906.4,12
0101,3,0109,20,3,2,1,BAX03,BGX03,3,2052.2,10
0102,1,0101,20,1,1,2,B17,BS18,1,1826.3,14
0102,1,0105,20,1,1,7,B6,BS05,1,1906.4,12
0102,4,0102,20,4,1,2,B13,BG02,1,2274.8,6
0102,4,0105,20,4,1,2,B15,BG04,1,2258.8,6
6011,1,6011,41,1,1,2,TP1,BS93,1,1521.9,17
7019,2,7019,41,2,1,1,BA*,BG**,1,2146.7,8
0603,1,0608,42,1,5,2,BA245,BS245,2,1922.4,12
0603,2,0608,42,2,5,2,BA245,BG245,2,2258.8,6
0605,2,0662,42,2,3,1,BA508,BG246,2,2306.9,6
0606,1,0608,42,1,5,2,BA245,BS245,2,1922.4,12
0607,1,0608,42,1,4,3,BA6,BS06,2,2178.7,8
0607,2,0604,42,2,3,2,BAX01,BGX01,6,2338.9,6
0607,2,0608,42,2,4,3,BA6,BG06,2,2242.8,7
0608,2,0604,42,2,3,2,BAX01,BGX01,6,2338.9,6
0659,1,0608,42,1,5,2,BA245,BS245,2,1922.4,12
0659,2,0604,42,2,3,2,BAX01,BGX01,6,2338.9,6
0660,1,0603,42,1,3,3,B5,BS05,2,2162.7,8
1599,1,1599,42,1,1,2,TP1,BS55,1,2082.6,8
1605,1,1605,42,1,1,1,BX02,BSX02,1,1890.4,11
1627,1,1627,42,1,1,1,BA*,BS**,1,2050.6,8
1690,1,1690,42,1,1,2,BX03,BSX03,1,1970.5,12
1690,2,1690,42,2,1,1,BX01,BGX01,1,2290.9,6
1691,1,1691,42,1,1,2,BX03,BSX03,1,2050.6,9
1691,2,1691,42,2,1,2,BX02,BGX02,1,2210.8,5
3044,1,3044,42,1,1,2,BX04,BSX04,1,2082.6,9
3044,2,3044,42,2,1,1,BX01,BGX01,1,2371.0,6
7037,1,7037,42,1,1,2,BX04,BSX04,1,1986.5,10
A320,2,1605,42,2,1,2,TP1,BG55,1,2322.9,4
A320,2,1605,42,2,1,1,BX01,BGX01,1,2258.8,7
A340,2,1605,42,2,1,2,TP1,BG55,1,2322.9,4
A411,2,1690,42,2,1,1,BX01,BGX01,1,2290.9,6
B330,2,1597,42,2,1,1,BX01,BGX01,1,2210.8,6
B340,2,1597,42,2,1,1,BX01,BGX01,1,2210.8,6
B350,2,1597,42,2,1,1,BX01,BGX01,1,2210.8,6
B351,2,1597,42,2,1,1,BX01,BGX01,1,2210.8,6
C410,1,1606,42,1,1,1,BX04,BSX04,1,1922.4,12
C430,1,1606,42,1,1,2,BX03,BSX03,1,1874.3,11
C430,1,1606,42,1,1,1,BX04,BSX04,1,1922.4,12
1024,1,1024,45,1,1,2,TP1,BS55,1,1938.4,12
5034,1,5034,45,1,1,1,BA*,BS**,1,2002.5,10
0601,1,0603,46,1,1,1,BA4,BS04,1,1762.2,18
0602,1,0602,46,1,1,1,BA8,BS08,1,1842.3,17
0602,1,0660,46,1,1,1,BA1,BS01,1,1858.3,15
0603,1,0608,46,1,3,2,BAX04,BSX04,6,1682.1,18
0603,1,0660,46,1,1,1,BA3,BS03,1,1842.3,15
0603,1,0660,46,1,1,1,BA1,BS01,1,1858.3,15
0604,1,0602,46,1,1,1,BA9,BS09,1,1778.2,17
0501,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
0502,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
0503,1,0502,24,1,1,2,BX02,BSX02,1,1810.3,15
0503,1,0507,24,1,3,1,BAX03,BSX03,2,1643.7,18
0503,1,0509,24,1,1,2,BX02,BSX02,1,1778.2,15
0503,3,0560,24,3,1,2,BX01,BGX01,1,2242.8,4
0504,1,0502,24,1,1,2,BX02,BSX02,1,1810.3,15
0504,3,0505,24,3,3,2,BAX07,BGX07,3,2282.9,6
0504,3,0509,24,3,3,2,BAX09,BGX09,5,2268.4,6
0504,3,0560,24,3,1,2,BX01,BGX01,1,2242.8,4
0505,3,0502,24,3,1,2,BX01,BGX01,1,2258.8,6
0505,3,0505,24,3,3,2,BAX07,BGX07,3,2282.9,6
0505,3,0559,24,3,1,2,T2,BG56,1,2242.8,5
0506,1,0507,24,1,3,1,BAX03,BSX03,2,1643.7,18
0507,1,0509,24,1,3,2,BAX05,BSX05,5,1738.2,15
0509,3,0507,24,3,1,2,T1,BG55,1,2210.8,5
0509,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
0509,3,0560,24,3,1,2,BX01,BGX01,1,2242.8,4
0560,1,0507,24,1,3,1,BAX03,BSX03,2,1643.7,18
0560,1,0560,24,1,1,2,BX02,BSX02,1,1698.1,16
0561,1,0507,24,1,1,2,T1,BS55,1,1698.1,18
0561,2,0507,24,2,3,1,BAX04,BTX04,2,1581.2,22
0561,3,0560,24,3,1,2,BX01,BGX01,1,2242.8,4
0562,1,0505,24,1,3,2,BAX01,BSX01,3,1566.8,20
0562,1,0509,24,1,1,2,BX02,BSX02,1,1778.2,15
0562,1,0560,24,1,1,2,BX02,BSX02,1,1698.1,16
0562,2,0509,24,2,3,2,BAX06,BTX06,5,1627.6,19
0562,3,0502,24,3,1,2,BX01,BGX01,1,2258.8,6
0562,3,0505,24,3,3,2,BAX07,BGX07,3,2282.9,6
0563,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
0903,2,2805,24,2,1,1,BX01,BGX01,1,2322.9,5
0960,2,2805,24,2,1,2,TP1,BG55,1,2258.8,6
0961,2,2805,24,2,1,1,BX01,BGX01,1,2322.9,5
1634,2,1634,24,2,1,1,BX01,BGX01,1,2082.6,7
2805,1,2805,24,1,1,1,BX02,BSX02,1,2226.8,8
5807,1,5807,24,1,1,1,BX03,BSX03,1,1986.5,10
A320,1,1634,24,1,1,2,TP1,BS55,1,1634.0,12
A331,1,1634,24,1,1,2,TP1,BS55,1,1634.0,12
A331,1,1634,24,1,1,1,BX02,BSX02,1,1746.2,4
A331,2,1634,24,2,1,2,TP1,BG55,1,2050.6,8
A331,2,1634,24,2,1,1,BX01,BGX01,1,2082.6,7
1003,1,1003,25,1,1,2,TP1,BS55,2,2050.6,8
0601,1,0602,46,1,1,1,BA9,BS09,1,1778.2,17
0601,1,0603,46,1,1,1,BA6,BS06,1,1730.2,19
0601,1,0604,46,1,3,2,BAX06,BSX06,4,1586.0,20
0601,1,0660,46,1,1,1,BA2,BS02,1,1826.3,15
0602,1,0602,46,1,1,1,BAX01,BSX01,1,1634.0,19
0602,1,0660,46,1,1,1,BA2,BS02,1,1826.3,15
0603,1,0602,46,1,1,1,BA7,BS07,1,1794.2,17
0603,1,0660,46,1,1,1,BAX07,BSX07,1,1730.2,16
0604,1,0603,46,1,1,1,BA6,BS06,1,1730.2,19
0604,1,0603,46,1,1,1,BAX02,BSX02,1,1586.0,22
0604,1,0660,46,1,1,1,BA1,BS01,1,1858.3,15
0605,1,0602,46,1,1,1,BA9,BS09,1,1778.2,17
0605,1,0608,46,1,3,2,BAX04,BSX04,6,1682.1,18
0605,1,0660,46,1,1,1,BA2,BS02,1,1826.3,15
0605,1,0660,46,1,1,1,BAX07,BSX07,1,1730.2,16
0606,1,0603,46,1,3,2,BAX05,BSX05,5,1602.0,22
0606,1,0603,46,1,1,1,BA5,BS05,1,1730.2,19
0606,1,0604,46,1,3,2,BAX06,BSX06,4,1586.0,20
0606,1,0660,46,1,1,1,BA1,BS01,1,1858.3,15
0607,1,0602,46,1,1,1,BA9,BS09,1,1778.2,17
0607,1,0602,46,1,1,1,BA7,BS07,1,1794.2,17
0607,1,0603,46,1,1,1,BA4,BS04,1,1762.2,18
0607,1,0603,46,1,1,1,BAX02,BSX02,1,1586.0,22
0607,1,0660,46,1,1,1,BAX07,BSX07,1,1730.2,16
0608,1,0603,46,1,1,1,BA6,BS06,1,1730.2,19
0608,1,0603,46,1,1,1,BA4,BS04,1,1762.2,18
0608,1,0604,46,1,3,2,BAX06,BSX06,4,1586.0,20
0660,1,0602,46,1,1,1,BA7,BS07,1,1794.2,17
0661,1,0660,46,1,1,1,BA1,BS01,1,1858.3,15
0662,1,0603,46,1,1,1,BA4,BS04,1,1762.2,18
0662,1,0660,46,1,1,1,BA3,BS03,1,1842.3,15
0662,1,0660,46,1,1,1,BAX07,BSX07,1,1730.2,16
0803,2,0804,46,2,3,2,BAX03,BGX03,1,2274.8,6
0803,2,0859,46,4,1,1,B3,BG03,1,2210.8,6
0804,2,0859,46,4,1,1,B3,BG03,1,2210.8,6
0859,4,0804,46,2,3,2,BAX03,BGX03,1,2274.8,6
0859,4,0804,46,2,3,1,BAX02,BGX02,1,2274.8,6
3009,1,3009,46,1,1,2,TP1,BS55,1,1890.4,13
3009,2,3009,46,2,1,1,BA1,BG01,1,2098.6,10
3053,1,3053,46,1,1,1,TP2,BS56,1,1922.4,12
5025,2,5025,46,2,1,1,BA1,BG01,1,2098.6,8
5040,3,5040,46,3,1,1,BX03,BGX03,1,2258.8,7
6600,1,6600,46,1,1,2,TP2,BS56,1,1650.1,22
7049,2,7049,46,2,1,2,TP1,BG55,2,2114.6,8
9106,2,9106,46,2,1,1,BX01,BGX01,1,2114.6,8
9197,1,9197,46,1,1,2,TP1,BS55,2,1698.1,17
9197,3,9197,46,3,1,2,TP1,BG55,2,2178.7,7
0505,2,0507,24,2,3,1,BAX04,BTX04,2,1581.2,22
0506,1,0502,24,1,1,2,BX02,BSX02,1,1810.3,15
0506,1,0560,24,1,1,2,BX02,BSX02,1,1698.1,16
0506,3,0505,24,3,3,2,BAX07,BGX07,3,2282.9,6
0506,3,0559,24,3,1,2,T2,BG56,1,2242.8,5
0507,1,0502,24,1,1,2,BX02,BSX02,1,1810.3,15
0507,1,0559,24,1,1,2,T2,BS56,1,1698.1,15
0507,3,0507,24,3,1,2,T1,BG55,1,2210.8,5
0507,3,0559,24,3,1,2,T2,BG56,1,2242.8,5
0508,1,0507,24,1,1,2,T1,BS55,1,1698.1,18
0509,1,0507,24,1,3,1,BAX03,BSX03,2,1643.7,18
0509,1,0509,24,1,1,2,BX02,BSX02,1,1778.2,15
0559,1,0507,24,1,1,2,T1,BS55,1,1698.1,18
0559,3,0502,24,3,1,2,BX01,BGX01,1,2258.8,6
0559,3,0560,24,3,1,2,BX01,BGX01,1,2242.8,4
0560,3,0505,24,3,3,2,BAX07,BGX07,3,2282.9,6
0560,3,0509,24,3,1,2,BX01,BGX01,1,2274.8,5
