LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,SAMPLE_NO,CONSTRUCTION_NO,VISUAL_CLASS
1,0571,0509,6,1,1,2,BA5,BS01,1,216
1,0571,0561,6,1,1,2,TP3,BS93,1,214
2,0571,0501,6,2,1,1,BA2,BG02,1,302
2,0571,0508,6,2,3,1,BA080*,BG080*,3,304
2,0571,0568,6,2,1,1,BA12,BG02,1,304
1,0605,0660,6,1,3,1,BA261,BS261,8,205
1,0607,3005,6,1,1,2,BA*,BS**,1,265
1,0608,0663,6,1,3,1,BA265,BS265,10,255
1,0660,3005,6,1,1,2,BA*,BS**,1,265
1,0661,0659,6,1,3,1,BA262,BS262,4,211
1,0663,0662,6,1,3,2,BA663,BS663,5,255
1,1253,1253,6,1,1,1,BA*,BS**,1,267
1,2002,2002,6,1,1,1,BA*,BS**,1,267
1,2004,2004,6,1,1,2,TP1,BS92,1,215
2,2004,2004,6,2,1,2,TP1,BG91,1,307
1,3010,3010,6,1,1,1,BA*,BS**,1,217
1,3019,3019,6,1,1,2,BA*,BS**,1,114
1,3021,3021,6,1,1,1,BA*,BS**,1,215
2,3030,3030,6,2,1,2,BA*,BG**,1,308
1,7491,7491,6,1,1,1,BA*,BS**,1,215
1,8149,8149,6,1,1,2,TP1,BS91,1,217
1,8534,8534,6,1,1,1,BA*,BS**,1,216
2,8534,8534,6,2,1,2,TP1,BG92,1,307
3,8534,8534,6,3,1,2,TP1,BG91,1,308
1,9048,9048,6,1,1,2,BA*,BS**,1,211
2,9049,9049,6,2,1,1,BA*,BG**,1,307
2,9107,9107,6,2,1,2,BA*,BG**,1,308
1,A350,1253,6,1,1,2,TP1,BS92,1,265
1,A352,1253,6,1,1,1,BA*,BS**,1,267
2,A353,1253,6,2,1,2,TP1,BG91,1,304
2,A363,1253,6,2,1,2,TP1,BG91,1,304
1,A411,3021,6,1,1,1,BA*,BS**,1,215
1,A412,3021,6,1,1,1,BA*,BS**,1,215
1,A420,3021,6,1,1,2,BA*,BS**,1,215
2,A430,3021,6,2,1,2,BA*,BG**,1,307
2,A441,3021,6,2,1,2,BA*,BG**,1,307
2,A443,3021,6,2,1,2,BA*,BG**,1,307
2,A806,A805,6,2,3,1,BA261,BG261,1,308
1,0902,0903,90,1,1,2,A01A03,BS01A03,1,114
1,0903,0902,90,1,1,2,A01A02,BS01A02,1,114
2,0903,0902,90,2,1,2,A02A02,BG01A02,1,308
2,0903,0961,90,2,1,2,B02A61,BG02A61,1,308
1,0959,0960,90,1,1,2,B01A60,BS01A60,1,114
2,0959,0961,90,2,1,2,B02A61,BG02A61,1,308
1,0960,0961,90,1,1,2,B01A61,BS01A61,1,114
2,0960,0959,90,2,1,2,A02A59,BG01A59,1,308
2,0960,0962,90,2,1,2,B02A62,BG02A62,1,308
3,0960,0901,90,3,1,2,A03A01,BG02A01,1,304
2,0962,0961,90,2,1,2,B02A61,BG02A61,1,308
1,6405,6405,90,1,1,2,TP2,BS56,1,214
1,6410,6410,90,1,1,2,TP2,BS57,1,214
2,6410,6410,90,2,1,2,TP2,BG58,1,306
3,6410,6410,90,3,1,1,TP1,BG55,1,304
3,B310,6405,90,3,1,1,TP1,BG55,1,304
1,B320,6405,90,1,1,1,TP1,BS55,1,214
3,B331,6405,90,3,1,1,TP1,BG55,1,304
1,0105,0110,1,1,5,2,BA301,BS307,1,114
2,0105,0106,1,2,2,2,B9,BG09,1,303
1,0106,0106,1,1,1,2,B4,BS04,1,143
1,0106,0111,1,1,1,2,B3,BS03,1,143
2,0106,0102,1,2,5,1,BAX04,BGX03,2,308
1,0107,0107,1,1,1,2,B1,BS01,1,145
2,0107,0102,1,2,2,1,B10,BG10,1,303
1,0108,0102,1,1,1,2,B7,BS07,1,108
1,0108,0109,1,1,5,2,BA506,BS306,1,114
2,0108,0102,1,2,2,1,B10,BG10,1,303
2,0108,0109,1,2,5,2,BAX02,BGX01,1,308
1,0109,0102,1,1,5,1,BA511,BS314,2,114
1,0109,0109,1,1,5,2,BAX02,BSX02,1,114
2,0109,0102,1,2,2,1,B10,BG10,1,303
1,0110,0102,1,1,5,1,BA511,BS314,2,114
1,0111,0106,1,1,1,2,B4,BS04,1,143
1,0161,0102,1,1,5,1,BA508,BS311,2,114
1,0161,0109,1,1,5,2,BA506,BS306,1,114
2,0161,0102,1,2,5,1,BAX03,BGX02,2,308
1,0162,0108,1,1,1,2,B2,BS02,1,114
1,0163,0109,1,1,5,2,BA506,BS306,1,114
1,0163,0110,1,1,5,2,BA301,BS307,1,114
1,0502,0508,1,1,1,2,BA6,BS06,1,214
2,0502,0502,1,2,1,1,TP1,BG56,1,310
2,0502,0504,1,2,4,2,BA305,BG312,2,306
2,0502,4155,1,2,1,1,BA*,BG**,1,303
2,0502,4155,1,2,1,2,BA*,BG**,1,303
1,0504,4155,1,1,1,1,BA*,BS**,1,216
2,0504,0506,1,2,4,2,BA301,BG302,2,306
2,0504,0506,1,2,4,2,BA303,BG306,2,306
3,0504,0503,1,3,4,1,BA307,BG317,2,308
3,0504,0504,1,3,4,2,BA304,BG309,2,308
